province_state,country,code,lat,long
,Turkey,Turkey,38.9637,35.2433
,Uganda,Uganda,1.0,32.0
,Ukraine,Ukraine,48.3794,31.1656
,United Arab Emirates,UnitedArabEmirates,24.0,54.0
Bermuda,United Kingdom,BermudaUnitedKingdom,32.3078,-64.7505
Cayman Islands,United Kingdom,CaymanIslandsUnitedKingdom,19.3133,-81.2546
Channel Islands,United Kingdom,ChannelIslandsUnitedKingdom,49.3723,-2.3644
Gibraltar,United Kingdom,GibraltarUnitedKingdom,36.1408,-5.3536
Isle of Man,United Kingdom,IsleofManUnitedKingdom,54.2361,-4.5481
Montserrat,United Kingdom,MontserratUnitedKingdom,16.7425,-62.1874
,United Kingdom,UnitedKingdom,55.3781,-3.4360000000000004
,Uruguay,Uruguay,-32.5228,-55.7658
,US,US,37.0902,-95.7129
,Uzbekistan,Uzbekistan,41.3775,64.5853
,Venezuela,Venezuela,6.4238,-66.5897
,Vietnam,Vietnam,16.0,108.0
,Zambia,Zambia,-15.4167,28.2833
,Zimbabwe,Zimbabwe,-20.0,30.0
Diamond Princess,Canada,DiamondPrincessCanada,0.0,0.0
,Dominica,Dominica,15.415,-61.371
,Grenada,Grenada,12.1165,-61.679
,Mozambique,Mozambique,-18.665695,35.529562
,Syria,Syria,34.802075,38.99681500000001
,Timor-Leste,Timor-Leste,-8.874217,125.727539
,Belize,Belize,13.1939,-59.5432
Recovered,Canada,RecoveredCanada,0.0,0.0
,Laos,Laos,19.85627,102.495496
,Libya,Libya,26.3351,17.228331
,West Bank and Gaza,WestBankandGaza,31.9522,35.2332
,Guinea-Bissau,Guinea-Bissau,11.8037,-15.1804
,Mali,Mali,17.570692,-3.996166000000001
,Saint Kitts and Nevis,SaintKittsandNevis,17.357822,-62.782998
Northwest Territories,Canada,NorthwestTerritoriesCanada,64.8255,-124.8457
Yukon,Canada,YukonCanada,64.2823,-135.0
,Kosovo,Kosovo,42.602636,20.902977
,Burma,Burma,21.9162,95.956
Anguilla,United Kingdom,AnguillaUnitedKingdom,18.2206,-63.0686
British Virgin Islands,United Kingdom,BritishVirginIslandsUnitedKingdom,18.4207,-64.64
Turks and Caicos Islands,United Kingdom,TurksandCaicosIslandsUnitedKingdom,21.69400000000001,-71.7979
,MS Zaandam,MSZaandam,0.0,0.0
